"","SampleID","Part","AnalysedRegionArea","AnalysedRegionWidth","AnalysedRegionHeight","Length","ProjArea","SurfArea","AvgDiam","LenPerVol","RootVolume.cm3.","Tips","Forks","Crossings","NofNodules","NumberOfClasses","L0_0.5","L0.5_1.0","L1.0_1.5","L1.5_2.0","L2.0_2.5","L2.5_3.0","L3.0_3.5","L3.5_4.0","L4.0_4.5","L_4.5","SA0_0.5","SA0.5_1.0","SA1.0_1.5","SA1.5_2.0","SA2.0_2.5","SA2.5_3.0","SA3.0_3.5","SA3.5_4.0","SA4.0_4.5","SA4.5","PA0_0.5","PA0.5_1.0","PA1.0_1.5","PA1.5_2.0","PA2.0_2.5","PA2.5_3.0","PA3.0_3.5","PA3.5_4.0","PA4.0_4.5","PA4.5","V0_0.5","V0.5_1.0","V1.0_1.5","V1.5_2.0","V2.0_2.5","V2.5_3.0","V3.0_3.5","V3.5_4.0","V4.0_4.5","V.4.5","T0_0.5","T0.5_1.0","T1.0_1.5","T1.5_2.0","T2.0_2.5","T2.5_3.0","T3.0_3.5","T3.5_4.0","T4.0_4.5","T4.5","GT","TMT","rep"
"11",19,1,1224.0589,40.6717,30.0961,7653.847,569.2699,1788.414,0.7438,7653.847,33.254,24249,83367,9381,0,10,4705.3833,1605.1866,599.3641,301.6519,162.3811,88.9017,57.6254,31.6128,27.4329,70.944,313.5368,357.2423,226.8353,163.346,114.6401,76.1791,58.343,36.9009,36.3715,137.7949,99.8019,113.7138,72.2039,51.9946,36.4911,24.2486,18.5712,11.7459,11.5774,43.8615,2.1569,6.6045,6.9208,7.0909,6.4673,5.2068,4.7103,3.4323,3.8425,22.6303,23226,702,167,89,36,15,4,3,3,4,"PI281999","WW+",1
"12",20,1,1224.0589,40.6717,30.0961,9710.8162,458.2645,1439.6805,0.4719,9710.8162,16.985,45661,93978,15878,0,10,7533.3645,1322.4706,418.747,218.7178,92.981,46.0398,23.7883,12.5194,6.3121,28.3005,420.5773,285.3051,160.0792,118.0436,65.0155,39.5131,24.0735,14.5154,8.3158,61.1593,133.8739,90.8154,50.9548,37.5744,20.6951,12.5774,7.6628,4.6204,2.647,19.4676,2.5837,5.1131,4.9283,5.1074,3.6326,2.7053,1.9426,1.3409,0.8725,11.7826,44588,641,204,146,47,25,7,1,0,2,"PI281999","WW+",2
"13",21,3,1397.0737,66.6508,55.8782,11537.818,745.9984,2343.6234,1.2669,11537.818,38.567,44223,152722,22304,0,20,8054.4879,1907.2294,633.4778,378.2497,207.685,106.5259,72.3942,47.6677,31.8375,91.0116,483.9338,415.7577,242.7132,205.5712,146.142,91.4507,73.6498,55.6812,42.3392,181.1582,154.0409,132.3398,77.258,65.4353,46.5184,29.1097,23.4434,17.7239,13.477,57.6645,3.146,7.5259,7.4962,8.9559,8.2177,6.264,5.9754,5.183,4.486,32.0793,43174,743,166,87,31,14,8,0,0,0,"PI281999","WW+",3
"14",22,1,1224.0589,40.6717,30.0961,8560.6771,591.1482,1857.147,0.6905,8560.6771,32.061,21084,76446,8973,0,10,5236.6593,1847.1822,745.9891,351.3039,156.762,73.5865,52.3621,29.64,22.2918,40.2838,349.8434,415.1307,281.9107,189.3383,110.0375,63.3513,52.9352,34.6517,29.7046,76.6235,111.3586,132.1402,89.735,60.2682,35.026,20.1654,16.8498,11.03,9.4553,24.39,2.4123,7.7483,8.5859,8.1805,6.172,4.3509,4.2664,3.2281,3.1537,12.6846,20486,372,123,62,26,4,5,1,2,3,"PI136687","WW+",1
"15",23,1,1224.0589,40.6717,30.0961,7585.8494,477.3411,1499.6113,0.6293,7585.8494,23.591,19710,68931,8740,0,10,4829.7568,1642.9907,607.1509,258.5011,115.6529,53.816,31.5379,13.418,9.7977,20.5235,332.9903,365.6936,230.9571,138.7978,81.0011,46.3278,31.8429,15.665,12.9453,40.4895,105.9941,116.4039,73.5159,44.1807,25.7834,14.7466,10.1359,4.9863,4.1206,12.8882,2.3086,6.759,7.0827,5.9729,4.5331,3.1813,2.563,1.4574,1.3626,7.2826,18951,482,164,73,24,11,4,1,0,0,"PI136687","WW+",2
"16",24,1,1224.0589,40.6717,30.0961,7938.1411,556.5044,1748.3101,0.7011,7938.1411,30.641,19037,80002,9606,0,10,4867.9912,1723.0615,633.7033,311.7266,158.2606,82.1856,51.443,31.976,20.4723,54.0691,333.3469,380.522,242.7245,168.0098,111.484,70.4075,51.9899,37.4887,27.2724,99.9767,106.1076,121.1239,77.2616,53.4792,35.4865,22.4114,16.5489,11.933,8.6811,31.8236,2.3367,6.9741,7.4887,7.2601,6.276,4.812,4.1888,3.5025,2.8945,15.5915,18422,397,124,54,29,7,2,1,0,1,"PI136687","WW+",3
"17",52,6,2625.596,93.7993,84.0456,19289.0663,1266.215,3977.9317,1.9682,19289.0663,66.101,85355,208185,25737,0,30,13091.455,3591.3824,1216.154,626.5692,305.3266,146.1287,98.6897,58.9965,39.0527,101.3916,822.8615,785.292,464.4271,338.3684,215.3471,125.4436,100.1874,69.2842,52.4629,264.608,261.9249,249.9663,147.8316,107.7061,68.5471,39.9299,31.8906,22.0539,16.6994,84.2274,5.5072,14.254,14.2945,14.6501,12.1375,8.5905,8.1105,6.4846,5.615,81.785,81442,2897,646,249,76,30,13,0,2,0,"PI313307","Mi",1
"18",53,1,1224.0589,40.6717,30.0961,6999.5483,314.6364,988.4595,0.4495,6999.5483,11.108,24737,48214,8444,0,10,5332.4578,1110.0088,323.9423,133.7874,57.1351,18.8529,5.6751,3.5302,3.7968,7.2018,319.2555,239.3364,124.2077,71.983,39.9126,16.1722,5.793,4.1159,5.1163,17.4517,101.6222,76.1831,39.5366,22.9129,12.7046,5.1478,1.844,1.3101,1.6286,5.555,2.0173,4.2764,3.8324,3.1036,2.2275,1.1064,0.4716,0.3825,0.5494,3.8107,24017,387,157,97,55,19,1,2,0,2,"PI313307","Mi",2
"19",54,1,1224.0589,40.6717,30.0961,6970.8739,413.3539,1298.5896,0.593,6970.8739,19.251,14825,60357,8383,0,10,4514.637,1490.192,601.1713,199.5515,81.8147,32.7573,19.1331,9.1554,4.5645,15.6579,311.4731,332.0334,226.2102,107.124,57.4399,28.0715,19.1726,10.7578,6.0637,34.9387,99.145,105.6895,72.0049,34.0986,18.2837,8.9354,6.1028,3.4243,1.9301,11.1213,2.1487,6.1498,6.8597,4.6107,3.2222,1.9186,1.5318,1.0075,0.6417,7.3473,14398,268,89,48,12,8,0,1,0,1,"PI313307","Mi",3
"20",55,1,1224.0589,40.6717,30.0961,5851.8777,267.6298,840.7838,0.4573,5851.8777,9.613,23847,48530,8396,0,10,4363.2572,972.2827,278.5554,131.2316,59.724,16.0015,11.4532,5.3479,4.7389,5.9117,244.6889,211.7758,107.8246,69.9592,41.6589,13.7458,11.594,6.2292,6.2004,9.6195,77.8869,67.4103,34.3217,22.2687,13.2605,4.3754,3.6905,1.9828,1.9737,3.062,1.5176,3.8167,3.3659,2.9911,2.3212,0.9422,0.9361,0.5785,0.6465,1.2655,23064,503,147,79,32,14,4,0,4,0,"PI535413","Mi",1
